Chr1:3631-5899	AT1G01010.1
Chr1:784893-784929	AT1TE02555
Chr1:784930-785447	AT1TE02560
Chr1:785448-785479	AT1TE02565
Chr1:787122-788651	AT1G03220.1
Chr1:790091-791592	AT1G03230.1
Chr1:792222-792986	AT1G03240.1
Chr1:793359-795376	AT1G03250.2
Chr1:795532-798463	AT1G03260.1
Chr1:799191-802436	AT1G03270.1
Chr1:803035-807066	AT1G03280.1
Chr1:807396-810690	AT1G03290.1
Chr1:811033-813086	AT1G03300.1
Chr1:813486-816749	AT1G03310.2
Chr1:817027-817767	AT1G03320.1
Chr1:817983-819563	AT1G03330.1
Chr1:819662-821317	AT1G03340.1
Chr1:821723-821763	AT1TE02680
Chr1:821764-821946	AT1TE02685
Chr1:821947-822571	AT1TE02690
Chr1:822579-822627	AT1TE02695
Chr1:822638-824393	AT1G03350.1
Chr1:824537-826358	AT1G03360.1
Chr1:826569-830383	AT1G03365.1
Chr1:830627-835361	AT1G03370.1
Chr1:835785-840940	AT1G03380.1
Chr1:841033-842418	AT1G03390.1
Chr1:842747-844190	AT1G03400.1
Chr1:844436-847683	AT1G03410.1
Chr1:846664-847739	AT1G03420.1
Chr1:846664-847739	AT1TE02770
Chr1:847873-849500	AT1G03430.1
Chr1:852366-854032	AT1G03440.1
Chr1:854410-859701	AT1G03445.1
Chr1:860788-864075	AT1G03457.2
Chr1:865915-867733	AT1G03470.1
Chr1:869051-871211	AT1G03475.1
Chr1:871874-872906	AT1G03490.1
Chr1:873184-874935	AT1G03495.1
Chr1:875358-875471	AT1G03502.1
Chr1:875518-875604	AT1G03506.1
Chr1:876258-877547	AT1G03510.1
Chr1:877648-877719	AT1G03515.1
Chr1:877862-880158	AT1G03520.1
Chr1:880496-883391	AT1G03530.1
Chr1:882330-882554	AT1TE02880
Chr1:883782-885611	AT1G03540.1
Chr1:885623-887956	AT1G03550.1
Chr1:885941-887906	AT1G03545.1
Chr1:890156-892410	AT1G03560.1
Chr1:892514-892585	AT1G03570.1
Chr1:892847-894052	AT1G03580
Chr1:894254-897518	AT1G03590.1
Chr1:898876-899655	AT1G03600.1
Chr1:900887-903003	AT1G03610.1
Chr1:903047-903474	AT1TE02950
Chr1:904319-906186	AT1G03620.1
Chr1:907642-909376	AT1G03630.1
Chr1:909811-909883	AT1G03640.1
Chr1:910023-911193	AT1G03650.1
Chr1:911436-911759	AT1G03660.1
Chr1:912339-913217	AT1TE02980
Chr1:913218-913345	AT1TE02985
Chr1:914222-916222	AT1G03670.1
Chr1:916819-918064	AT1G03680.1
Chr1:918299-920507	AT1G03687.1
Chr1:920950-921901	AT1G03700.1
Chr1:921830-923363	AT1TE03010
Chr1:923426-924726	AT1G03710.1
Chr1:924996-926373	AT1G03720.1
Chr1:930828-931895	AT1G03730.1
Chr1:933512-937043	AT1G03740.1
Chr1:934884-935351	AT1TE03050
Chr1:937207-937287	AT1G03743.1
Chr1:937401-937485	AT1G03746.1
Chr1:937920-941162	AT1G03750.1
Chr1:941062-943377	AT1G03760.1
Chr1:943765-944176	AT1TE03080
Chr1:944572-947483	AT1G03770.2
Chr1:947520-951827	AT1G03780.3
Chr1:954525-956097	AT1G03790.1
Chr1:957261-957998	AT1G03800.1
Chr1:958759-959609	AT1G03810.1
Chr1:959869-960728	AT1G03820.1
Chr1:962016-966757	AT1G03830.2
Chr1:967503-970130	AT1G03840.1
Chr1:971939-972418	AT1TE03170
Chr1:974403-974811	AT1TE03175
Chr1:974812-974873	AT1TE03180
Chr1:976097-977761	AT1G03850.1
Chr1:976608-976643	AT1TE03185
Chr1:976644-977202	AT1TE03190
Chr1:977203-977233	AT1TE03195
Chr1:979308-981885	AT1G03860.1
Chr1:982506-983540	AT1G03870.1
Chr1:985751-988146	AT1G03880.1
Chr1:989198-991020	AT1G03890.1
Chr1:991139-993118	AT1G03900.1
Chr1:993400-995784	AT1G03905.1
Chr1:996115-1000437	AT1G03910.2
Chr1:1001321-1004383	AT1G03920.1
Chr1:1004769-1008370	AT1G03930.1
Chr1:1008810-1008896	AT1G03935.1
Chr1:1009542-1011056	AT1G03940.1
Chr1:1011172-1013365	AT1G03950.1
Chr1:1013715-1017929	AT1G03960.1
Chr1:1018100-1019247	AT1G03970.1
Chr1:1018570-1022108	AT1G03980.1
Chr1:1022251-1023719	AT1G03982.1
Chr1:1024847-1027616	AT1G03990.1
Chr1:1028106-1029119	AT1G04000.1
Chr1:1031200-1036237	AT1G04010.1
Chr1:1036537-1040224	AT1G04020.1
Chr1:1040383-1042892	AT1G04030.1
Chr1:1042362-1043864	AT1G04040.1
Chr1:1045598-1049297	AT1G04050.1
Chr1:1050553-1051186	AT1G04070.1
Chr1:1051312-1056827	AT1G04080.3
Chr1:1057151-1059419	AT1G04090.1
Chr1:1059506-1061191	AT1G04100.1
Chr1:1061457-1063784	AT1G04110.1
Chr1:1064454-1070927	AT1G04120.1
Chr1:1073427-1075568	AT1G04130.1
Chr1:1075545-1080630	AT1G04140.2
Chr1:1081208-1084246	AT1G04150.1
Chr1:1086495-1096146	AT1G04160.1
Chr1:1096946-1099898	AT1G04170.1
Chr1:1100444-1100608	AT1G04171.1
Chr1:1104623-1105988	AT1G04180.1
Chr1:1106428-1108715	AT1G04190.1
Chr1:1109482-1114107	AT1G04200.1
Chr1:1114405-1119739	AT1G04210.1
Chr1:1119699-1122526	AT1G04220.1
Chr1:1125518-1128168	AT1G04230.1
Chr1:1128188-1129551	AT1G04240.1
Chr1:1136258-1138613	AT1G04250.1
Chr1:1140528-1141365	AT1G04260.1
Chr1:1141604-1143053	AT1G04270.1
Chr1:1143436-1146654	AT1G04280.1
Chr1:1147523-1148533	AT1G04290.1
Chr1:1147781-1148435	AT1G04295.1
Chr1:1148659-1154652	AT1G04300.3
Chr1:1154764-1157711	AT1G04310.1
Chr1:1157763-1157863	AT1TE03780
Chr1:1159023-1159093	AT1G04320.1
Chr1:1160069-1161330	AT1TE03785
Chr1:1161311-1161982	AT1G04330.1
Chr1:1161331-1161548	AT1TE03790
Chr1:1163097-1164851	AT1G04340.1
Chr1:1165165-1166768	AT1G04350.1
Chr1:1167457-1168878	AT1G04360.1
Chr1:1174434-1174891	AT1TE03830
Chr1:1174892-1174958	AT1TE03835
Chr1:1175177-1175578	AT1G04370.1
Chr1:1176921-1178407	AT1G04380.1
Chr1:1179363-1183704	AT1G04390.1
Chr1:1184970-1185352	AT1TE03860
Chr1:1185353-1185394	AT1TE03865
Chr1:1185395-1185428	AT1TE03870
Chr1:1185556-1188276	AT1G04400.2
Chr1:1189078-1191412	AT1G04410.1
Chr1:1191608-1193884	AT1G04420.1
Chr1:1194187-1196889	AT1G04425.1
Chr1:1194345-1195166	AT1TE03900
Chr1:1197069-1197444	AT1TE03905
Chr1:1198118-1201527	AT1G04430.1
Chr1:1201616-1202034	AT1TE03915
Chr1:1202255-1205803	AT1G04440.1
Chr1:1205705-1205739	AT1TE03925
Chr1:1205740-1206603	AT1TE03930
Chr1:1206604-1207093	AT1TE03935
Chr1:1207344-1207862	AT1G04445.1
Chr1:1208521-1209874	AT1G04450.1
Chr1:1210319-1210549	AT1G04457
Chr1:1211049-1214662	AT1G04470.1
Chr1:1216095-1217467	AT1G04480.1
Chr1:1218005-1219914	AT1G04490.1
Chr1:1221433-1224366	AT1G04500.1
Chr1:1224552-1224680	AT1G04501.1
Chr1:1226575-1230827	AT1G04510.1
Chr1:1231578-1234032	AT1G04520.1
Chr1:1234176-1236034	AT1G04530.1
Chr1:1237256-1239061	AT1G04540.1
Chr1:1240375-1242121	AT1G04550.2
Chr1:1242558-1244244	AT1G04555.1
Chr1:1244947-1246059	AT1G04560.1
Chr1:1246728-1248775	AT1G04570.1
Chr1:1251630-1251772	AT1TE04080
Chr1:1252122-1257510	AT1G04580.1
Chr1:1258578-1261425	AT1G04590.2
Chr1:1262123-1272376	AT1G04600.1
Chr1:1275327-1275794	AT1TE04160
Chr1:1275795-1276621	AT1TE04165
Chr1:1276623-1276966	AT1TE04170
Chr1:1279388-1281618	AT1G04610.1
Chr1:1282741-1286584	AT1G04620.1
Chr1:1286382-1286558	AT1TE04200
Chr1:1286663-1287069	AT1TE04205
Chr1:1287831-1289820	AT1G04625.1
Chr1:1289734-1291112	AT1G04630.1
Chr1:1291314-1291995	AT1G04635.1
Chr1:1292080-1293357	AT1G04640.1
Chr1:1293504-1293596	AT1TE04220
Chr1:1293770-1294263	AT1G04645.1
Chr1:1294893-1299002	AT1G04650.1
Chr1:1300486-1301773	AT1G04660.1
Chr1:1301861-1302724	AT1G04670.1
Chr1:1303529-1307884	AT1G04680.1
Chr1:1310430-1310579	AT1G04684.1
Chr1:1313564-1315750	AT1G04690.1
Chr1:1316254-1320919	AT1G04700.1
Chr1:1321904-1324782	AT1G04710.1
Chr1:1324923-1324960	AT1G04720.1
Chr1:1325296-1331086	AT1G04730.1
Chr1:1331466-1333567	AT1G04750.1
Chr1:1334760-1336070	AT1G04760.1
Chr1:1336371-1337849	AT1G04770.1
Chr1:1339892-1340327	AT1G04778.1
Chr1:1340669-1343584	AT1G04780.1
Chr1:1345036-1348451	AT1G04790.1
Chr1:1348452-1349286	AT1G04800.1
Chr1:1350180-1355442	AT1G04810.1
Chr1:1356191-1358386	AT1G04820.1
Chr1:1358574-1362019	AT1G04830.2
Chr1:1362867-1364962	AT1G04840.1
Chr1:1365118-1368844	AT1G04850.1
Chr1:1369054-1373101	AT1G04860.1
Chr1:1373234-1375762	AT1G04870.2
Chr1:1375961-1379185	AT1G04880.1
Chr1:1379290-1380001	AT1TE04500
Chr1:1380382-1382599	AT1G04890.1
Chr1:1383410-1383734	AT1TE04510
Chr1:1383841-1387895	AT1G04900.1
Chr1:1387871-1391187	AT1G04910.1
Chr1:1391502-1395864	AT1G04920.1
Chr1:1396291-1399053	AT1G04930.2
Chr1:1399174-1403038	AT1G04945.3
Chr1:1399182-1400770	AT1G04940.1
Chr1:1403085-1407468	AT1G04950.1
Chr1:1407801-1410868	AT1G04960.2
Chr1:1411170-1413627	AT1G04970.1
Chr1:1413644-1416144	AT1G04980.1
Chr1:1416343-1418482	AT1G04985.1
Chr1:1417569-1417699	AT1TE04620
Chr1:1419141-1421639	AT1G04990.2
Chr1:1425601-1428782	AT1G05000.2
Chr1:1430272-1430424	AT1TE04660
Chr1:1430437-1430836	AT1TE04665
Chr1:1430837-1430859	AT1TE04670
Chr1:1430869-1431028	AT1TE04675
Chr1:1431190-1432858	AT1G05010.1
Chr1:1435254-1437667	AT1G05020.1
Chr1:1438152-1441417	AT1G05030.1
Chr1:1441515-1441645	AT1TE04700
Chr1:1441646-1441670	AT1TE04705
Chr1:1441741-1442976	AT1TE04710
Chr1:1442977-1443007	AT1TE04715
Chr1:1443562-1443971	AT1TE04720
Chr1:1444364-1444532	AT1TE04725
Chr1:1447369-1448448	AT1G05040.1
Chr1:1448718-1450887	AT1G05055.1
Chr1:1451030-1452872	AT1G05060.1
Chr1:1453216-1454260	AT1G05061
Chr1:1454969-1455220	AT1G05065.1
Chr1:1457063-1458744	AT1G05070.1
Chr1:1459091-1460579	AT1G05080.1
Chr1:1460988-1461670	AT1G05085.1
Chr1:1463202-1465622	AT1G05090.1
Chr1:1469610-1470881	AT1G05100.1
Chr1:1471406-1476078	AT1G05120.1
Chr1:1476478-1476716	AT1TE04830
Chr1:1477500-1478821	AT1G05135
Chr1:1477673-1478083	AT1TE04835
Chr1:1478084-1478455	AT1TE04840
Chr1:1478923-1479063	AT1G05136.1
Chr1:1482548-1484056	AT1G05140.1
Chr1:1484067-1486960	AT1G05150.1
Chr1:1487378-1490947	AT1G05160.1
Chr1:1491164-1494248	AT1G05170.2
Chr1:1498114-1501824	AT1G05180.1
Chr1:1501823-1502307	AT1TE04920
Chr1:1502344-1503830	AT1G05190.1
Chr1:1505317-1509152	AT1G05200.1
Chr1:1509103-1510281	AT1G05205.1
Chr1:1510404-1511683	AT1G05210.1
Chr1:1511907-1512842	AT1G05220.1
Chr1:1512901-1517248	AT1G05230.1
Chr1:1518865-1519729	AT1TE04970
Chr1:1519730-1519773	AT1TE04975
Chr1:1519774-1520005	AT1TE04980
Chr1:1520195-1520367	AT1TE04985
Chr1:1521137-1522681	AT1G05240.1
Chr1:1522504-1522667	AT1TE04990
Chr1:1522668-1522770	AT1TE04995
Chr1:1522771-1522971	AT1TE05000
Chr1:1525601-1527234	AT1G05250.1
Chr1:1529767-1531439	AT1G05260.1
Chr1:1531641-1534410	AT1G05270.1
Chr1:1535444-1537525	AT1G05280.1
Chr1:1539152-1540562	AT1G05290.1
Chr1:1541348-1542432	AT1G05291.1
Chr1:1545106-1547849	AT1G05300.1
Chr1:1550543-1552517	AT1G05310.1
Chr1:1553608-1557733	AT1G05320.1
Chr1:1558170-1558583	AT1G05330.1
Chr1:1558844-1559903	AT1G05340.1
Chr1:1560678-1564123	AT1G05350.1
Chr1:1564598-1567465	AT1G05360.1
Chr1:1569192-1572280	AT1G05370.1
Chr1:1573302-1573550	AT1TE05170
Chr1:1576863-1582614	AT1G05380.1
Chr1:1582671-1583718	AT1G05385.1
Chr1:1583772-1583845	AT1G05390.1
Chr1:1584073-1585421	AT1G05400.1
Chr1:1585371-1587778	AT1G05410.1
Chr1:1589343-1589856	AT1TE05220
Chr1:1590073-1590753	AT1G05420.1
Chr1:1592656-1593745	AT1TE05225
Chr1:1594057-1595818	AT1G05430.1
Chr1:1596007-1597848	AT1G05440.1
Chr1:1599911-1601214	AT1G05450.2
Chr1:1601148-1605027	AT1G05460.1
Chr1:1607357-1611703	AT1G05470.1
Chr1:1613272-1614662	AT1TE05280
Chr1:1618602-1623452	AT1G05490.1
Chr1:1624955-1629224	AT1G05500.1
Chr1:1629446-1630863	AT1G05510.1
Chr1:1630900-1635711	AT1G05520.1
Chr1:1636496-1637863	AT1G05530.1
Chr1:1639286-1640811	AT1G05540.1
Chr1:1640959-1643917	AT1G05550.3
Chr1:1645498-1647147	AT1G05560.1
Chr1:1645875-1647162	AT1G05562.1
Chr1:1647706-1659437	AT1G05570.1
Chr1:1661691-1662187	AT1G05575.1
Chr1:1662370-1664398	AT1G05577.1
Chr1:1665464-1668902	AT1G05580.1
Chr1:1669350-1671876	AT1G05590.1
Chr1:1672099-1673748	AT1G05600.1
Chr1:1673861-1675934	AT1G05610.1
Chr1:1676342-1676363	AT1TE05480
Chr1:1676364-1677158	AT1TE05485
Chr1:1677159-1677359	AT1TE05490
Chr1:1677507-1678270	AT1G05615.1
Chr1:1679158-1681710	AT1G05620.1
Chr1:1682318-1687363	AT1G05630.1
Chr1:1687436-1689501	AT1G05640.1
Chr1:1690264-1692126	AT1G05650.1
Chr1:1694286-1696058	AT1G05660.1
Chr1:1697587-1701025	AT1G05670.1
Chr1:1701116-1702749	AT1G05675.1
Chr1:1703092-1704691	AT1G05680.1
Chr1:1705285-1705374	AT1TE05580
