AGI,mRNA,description
AT1G01260,AT1G01260.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839545]
AT1G01270,AT1G01270.1,""
AT1G01280,AT1G01280.1,"cytochrome P450, family 703, subfamily A, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:839470]"
AT1G01290,AT1G01290.1,cofactor of nitrate reductase and xanthine dehydrogenase 3 [Source:NCBI gene (formerly Entrezgene);Acc:839445]
AT1G01300,AT1G01300.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:839375]
AT1G01305,AT1G01305.1,""
AT1G01310,AT1G01310.1,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathosis-related 1 protein) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839333]"
AT1G01320,AT1G01320.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839293]
AT1G01340,AT1G01340.2,cyclic nucleotide gated channel 10 [Source:NCBI gene (formerly Entrezgene);Acc:838832]
AT1G01350,AT1G01350.1,Zinc finger (CCCH-type/C3HC4-type RING finger) family protein [Source:NCBI gene (formerly Entrezgene);Acc:838964]
AT1G01355,AT1G01355.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:6241268]
AT1G01360,AT1G01360.1,regulatory component of ABA receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:838452]
AT1G01370,AT1G01370.1,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839104]
AT1G01380,AT1G01380.1,Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838096]
AT1G01390,AT1G01390.1,UDP-Glycosyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837790]
AT1G01400,AT1G01400.1,""
AT1G01410,AT1G01410.1,pumilio 22 [Source:NCBI gene (formerly Entrezgene);Acc:837547]
AT1G01420,AT1G01420.1,UDP-glucosyl transferase 72B3 [Source:NCBI gene (formerly Entrezgene);Acc:837503]
AT1G01430,AT1G01430.1,TRICHOME BIREFRINGENCE-LIKE 25 [Source:NCBI gene (formerly Entrezgene);Acc:837247]
AT1G01440,AT1G01440.1,""
AT1G01448,AT1G01448.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5007657]
AT1G01450,AT1G01450.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837060]
AT1G01453,AT1G01453.2,late embryosis abundant hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:6240388]
AT1G01460,AT1G01460.1,"Phosphatidylinositol-4-phosphate 5-kinase, core [Source:NCBI gene (formerly Entrezgene);Acc:839469]"
AT1G01470,AT1G01470.1,Late embryosis abundant protein [Source:NCBI gene (formerly Entrezgene);Acc:837071]
AT1G01471,AT1G01471.1,
AT1G01480,AT1G01480.1,1-amino-cyclopropane-1-carboxylate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:837082]
AT1G01490,AT1G01490.1,Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839440]
AT1G01500,AT1G01500.1,Erythronate-4-phosphate dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839430]
AT1G01510,AT1G01510.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839401]
AT1G01520,AT1G01520.1,Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839337]
AT1G01530,AT1G01530.1,AGAMOUS-like 28 [Source:NCBI gene (formerly Entrezgene);Acc:837142]
AT1G01540,AT1G01540.2,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839533]
AT1G01550,AT1G01550.1,BPS1-like protein (DUF793) [Source:NCBI gene (formerly Entrezgene);Acc:839536]
AT1G01560,AT1G01560.2,MAP kinase 11 [Source:NCBI gene (formerly Entrezgene);Acc:839523]
AT1G01570,AT1G01570.1,transferring glycosyl group transferase (DUF604) [Source:NCBI gene (formerly Entrezgene);Acc:837183]
AT1G01580,AT1G01580.1,ferric reduction oxidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839411]
AT1G01590,AT1G01590.1,ferric reduction oxidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837194]
AT1G01600,AT1G01600.1,"cytochrome P450, family 86, subfamily A, polypeptide 4 [Source:NCBI gene (formerly Entrezgene);Acc:839347]"
AT1G01610,AT1G01610.1,glycerol-3-phosphate acyltransferase 4 [Source:NCBI gene (formerly Entrezgene);Acc:839297]
AT1G01620,AT1G01620.1,plasma membrane intrinsic protein 1C [Source:NCBI gene (formerly Entrezgene);Acc:839235]
AT1G01630,AT1G01630.1,Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:839231]
AT1G01640,AT1G01640.1,BTB/POZ domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839534]
AT1G01650,AT1G01650.1,SIGNAL PEPTIDE PEPTIDASE-LIKE 4 [Source:NCBI gene (formerly Entrezgene);Acc:839499]
AT1G01660,AT1G01660.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839461]
AT1G01670,AT1G01670.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839365]
AT1G01680,AT1G01680.1,plant U-box 54 [Source:NCBI gene (formerly Entrezgene);Acc:839251]
AT1G01690,AT1G01690.1,putative recombination initiation defects 3 [Source:NCBI gene (formerly Entrezgene);Acc:839243]
AT1G01695,AT1G01695.1,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein [Source:NCBI gene (formerly Entrezgene);Acc:6241450]
AT1G01700,AT1G01700.1,RHO guanyl-nucleotide exchange factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:839250]
AT1G01710,AT1G01710.1,acyl-CoA thioesterase II [Source:NCBI gene (formerly Entrezgene);Acc:839254]
AT1G01720,AT1G01720.1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839265]
AT1G01725,AT1G01725.1,adenylosuccinate synthetase [Source:NCBI gene (formerly Entrezgene);Acc:839271]
AT1G01730,AT1G01730.1,""
AT1G01740,AT1G01740.1,kinase with tetratricopeptide repeat domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839253]
AT1G01750,AT1G01750.1,actin depolymerizing factor 11 [Source:NCBI gene (formerly Entrezgene);Acc:839281]
AT1G01760,AT1G01760.1,denosine deaminases acting on tRNA [Source:NCBI gene (formerly Entrezgene);Acc:839252]
AT1G01770,AT1G01770.1,propionyl-CoA carboxylase [Source:NCBI gene (formerly Entrezgene);Acc:837323]
AT1G01780,AT1G01780.1,GATA type zinc finger transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:839267]
AT1G01790,AT1G01790.1,K+ efflux antiporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:837332]
AT1G01800,AT1G01800.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839259]
AT1G01810,AT1G01810.1,""
AT1G01820,AT1G01820.1,peroxin 11c [Source:NCBI gene (formerly Entrezgene);Acc:839257]
AT1G01830,AT1G01830.2,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839264]
AT1G01840,AT1G01840.1,AP2-like ethylene-responsive transcription factor SNZ [Source:NCBI gene (formerly Entrezgene);Acc:839291]
AT1G01860,AT1G01860.1,Ribosomal RNA adenine dimethylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839283]
AT1G01870,AT1G01870.1,""
AT1G01880,AT1G01880.1,5'-3' exonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:837373]
AT1G01890,AT1G01890.1,""
AT1G01900,AT1G01900.1,subtilase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839318]
AT1G01910,AT1G01910.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839305]
AT1G01920,AT1G01920.1,SET domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839313]
AT1G01930,AT1G01930.1,zinc finger protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839310]
AT1G01940,AT1G01940.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839309]
AT1G01950,AT1G01950.3,armadillo repeat kinesin 2 [Source:NCBI gene (formerly Entrezgene);Acc:839306]
AT1G01960,AT1G01960.1,SEC7-like guanine nucleotide exchange family protein [Source:NCBI gene (formerly Entrezgene);Acc:839301]
AT1G01970,AT1G01970.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839299]
AT1G01980,AT1G01980.1,FAD-binding Berberine family protein [Source:NCBI gene (formerly Entrezgene);Acc:839296]
AT1G01990,AT1G01990.1,""
AT1G02000,AT1G02000.1,UDP-D-glucuronate 4-epimerase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839289]
AT1G02010,AT1G02010.1,secretory 1A [Source:NCBI gene (formerly Entrezgene);Acc:839288]
AT1G02020,AT1G02020.1,nitroreductase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837477]
AT1G02030,AT1G02030.1,C2H2-like zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:839285]
AT1G02040,AT1G02040.1,C2H2-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:839284]
AT1G02050,AT1G02050.1,Chalcone and stilbene synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839280]
AT1G02060,AT1G02060.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839279]
AT1G02065,AT1G02065.1,squamosa promoter binding protein-like 8 [Source:NCBI gene (formerly Entrezgene);Acc:839275]
AT1G02070,AT1G02070.1,zinc ion-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:839270]
AT1G02074,AT1G02074.1,
AT1G02080,AT1G02080.1,transcription regulator [Source:NCBI gene (formerly Entrezgene);Acc:839244]
AT1G02090,AT1G02090.1,Proteasome component (PCI) domain protein [Source:NCBI gene (formerly Entrezgene);Acc:839241]
AT1G02100,AT1G02100.3,Leucine carboxyl methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:837541]
AT1G02110,AT1G02110.1,bZIP domain class transcription factor (DUF630 and DUF632) [Source:NCBI gene (formerly Entrezgene);Acc:839234]
AT1G02120,AT1G02120.1,GRAM domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:839232]
AT1G02130,AT1G02130.1,RAS 5 [Source:NCBI gene (formerly Entrezgene);Acc:837023]
AT1G02136,AT1G02136.1,
AT1G02140,AT1G02140.1,mago nashi family protein [Source:NCBI gene (formerly Entrezgene);Acc:837560]
AT1G02145,AT1G02145.3,homolog of asparagine-linked glycosylation 12 [Source:NCBI gene (formerly Entrezgene);Acc:5007658]
AT1G02150,AT1G02150.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839577]
AT1G02160,AT1G02160.2,Cox19 family protein (CHCH motif) [Source:NCBI gene (formerly Entrezgene);Acc:839554]
AT1G02170,AT1G02170.1,metacaspase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839561]
AT1G02180,AT1G02180.1,ferredoxin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839543]
AT1G02190,AT1G02190.1,Fatty acid hydroxylase superfamily [Source:NCBI gene (formerly Entrezgene);Acc:839541]
AT1G02205,AT1G02205.3,Fatty acid hydroxylase superfamily [Source:NCBI gene (formerly Entrezgene);Acc:837602]
AT1G02210,AT1G02210.1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839482]
AT1G02220,AT1G02220.1,NAC domain containing protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:839476]
AT1G02228,AT1G02228.1,
AT1G02230,AT1G02230.1,NAC domain containing protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:837630]
AT1G02250,AT1G02250.1,NAC domain containing protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:839390]
AT1G02260,AT1G02260.1,Divalent ion symporter [Source:NCBI gene (formerly Entrezgene);Acc:839344]
AT1G02270,AT1G02270.1,Calcium-binding endonuclease/exonuclease/phosphatase family [Source:NCBI gene (formerly Entrezgene);Acc:839381]
AT1G02280,AT1G02280.1,translocon at the outer envelope membrane of chloroplasts 33 [Source:NCBI gene (formerly Entrezgene);Acc:839248]
AT1G02290,AT1G02290.1,""
AT1G02300,AT1G02300.1,Cysteine proteinases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839576]
AT1G02305,AT1G02305.1,Cysteine proteinases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839538]
AT1G02310,AT1G02310.1,Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839444]
AT1G02320,AT1G02320.1,""
AT1G02330,AT1G02330.1,integrator complex subunit-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839367]
AT1G02335,AT1G02335.1,germin-like protein subfamily 2 member 2 [Source:NCBI gene (formerly Entrezgene);Acc:3766642]
AT1G02340,AT1G02340.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839300]
AT1G02350,AT1G02350.1,protoporphyrinogen oxidase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839490]
AT1G02360,AT1G02360.1,Chitinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837724]
AT1G02370,AT1G02370.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837735]
AT1G02380,AT1G02380.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:837745]
AT1G02390,AT1G02390.1,glycerol-3-phosphate acyltransferase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839558]
AT1G02391,AT1G02391.1,
AT1G02400,AT1G02400.1,gibberellin 2-oxidase 6 [Source:NCBI gene (formerly Entrezgene);Acc:839508]
AT1G02405,AT1G02405.1,proline-rich family protein [Source:NCBI gene (formerly Entrezgene);Acc:837769]
AT1G02410,AT1G02410.1,cytochrome c oxidase assembly protein CtaG / Cox11 family [Source:NCBI gene (formerly Entrezgene);Acc:839364]
AT1G02420,AT1G02420.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837779]
AT1G02430,AT1G02430.1,ADP-ribosylation factor D1B [Source:NCBI gene (formerly Entrezgene);Acc:839242]
AT1G02440,AT1G02440.1,ADP-ribosylation factor D1A [Source:NCBI gene (formerly Entrezgene);Acc:839230]
AT1G02450,AT1G02450.1,NIM1-interacting 1 [Source:NCBI gene (formerly Entrezgene);Acc:837800]
AT1G02460,AT1G02460.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839443]
AT1G02470,AT1G02470.2,Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837812]
AT1G02475,AT1G02475.1,Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839236]
AT1G02480,AT1G02480.1,""
AT1G02490,AT1G02490.1,""
AT1G02500,AT1G02500.1,S-adenosylmethionine synthetase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839501]
AT1G02510,AT1G02510.1,Outward rectifying potassium channel protein [Source:NCBI gene (formerly Entrezgene);Acc:837846]
AT1G02520,AT1G02520.1,P-glycoprotein 11 [Source:NCBI gene (formerly Entrezgene);Acc:839353]
AT1G02530,AT1G02530.1,P-glycoprotein 12 [Source:NCBI gene (formerly Entrezgene);Acc:839282]
AT1G02540,AT1G02540.1,""
AT1G02550,AT1G02550.1,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837879]
AT1G02560,AT1G02560.1,nuclear encoded CLP protease 5 [Source:NCBI gene (formerly Entrezgene);Acc:839433]
AT1G02570,AT1G02570.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:839485]
AT1G02575,AT1G02575.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:10723100]
AT1G02580,AT1G02580.1,SET domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839422]
AT1G02590,AT1G02590.1,"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein [Source:NCBI gene (formerly Entrezgene);Acc:839372]"
AT1G02600,AT1G02600.1,""
AT1G02610,AT1G02610.1,RING/FYVE/PHD zinc finger superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837915]
AT1G02620,AT1G02620.1,Ras-related small GTP-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:839269]
AT1G02630,AT1G02630.1,Nucleoside transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:839240]
AT1G02640,AT1G02640.1,beta-xylosidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:837940]
AT1G02650,AT1G02650.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837951]
AT1G02660,AT1G02660.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839544]
AT1G02670,AT1G02670.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839532]
AT1G02680,AT1G02680.1,TBP-associated factor 13 [Source:NCBI gene (formerly Entrezgene);Acc:837962]
AT1G02681,AT1G02681.1,
AT1G02690,AT1G02690.2,importin alpha  [Source:NCBI gene (formerly Entrezgene);Acc:839517]
AT1G02700,AT1G02700.1,GATA transcription factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839492]
AT1G02710,AT1G02710.1,glycine-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:839483]
AT1G02720,AT1G02720.1,galacturonosyltransferase 5 [Source:NCBI gene (formerly Entrezgene);Acc:839475]
AT1G02730,AT1G02730.1,cellulose synthase-like D5 [Source:NCBI gene (formerly Entrezgene);Acc:839467]
AT1G02740,AT1G02740.1,MRG family protein [Source:NCBI gene (formerly Entrezgene);Acc:839455]
AT1G02750,AT1G02750.1,Drought-responsive family protein [Source:NCBI gene (formerly Entrezgene);Acc:839432]
AT1G02760,AT1G02760.1,""
AT1G02770,AT1G02770.1,""
AT1G02780,AT1G02780.1,Ribosomal protein L19e family protein [Source:NCBI gene (formerly Entrezgene);Acc:839407]
AT1G02790,AT1G02790.1,polygalacturonase 4 [Source:NCBI gene (formerly Entrezgene);Acc:839391]
AT1G02800,AT1G02800.1,cellulase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839385]
AT1G02810,AT1G02810.1,Plant invertase/pectin methylesterase inhibitor superfamily [Source:NCBI gene (formerly Entrezgene);Acc:838078]
AT1G02813,AT1G02813.1,"pectinesterase (Protein of unknown function, DUF538) [Source:NCBI gene (formerly Entrezgene);Acc:839360]"
AT1G02816,AT1G02816.1,"pectinesterase (Protein of unknown function, DUF538) [Source:NCBI gene (formerly Entrezgene);Acc:839308]"
AT1G02820,AT1G02820.1,Late embryosis abundant 3 (LEA3) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839304]
AT1G02830,AT1G02830.1,Ribosomal L22e protein family [Source:NCBI gene (formerly Entrezgene);Acc:838098]
AT1G02840,AT1G02840.1,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839262]
AT1G02850,AT1G02850.4,beta glucosidase 11 [Source:NCBI gene (formerly Entrezgene);Acc:839435]
AT1G02860,AT1G02860.1,SPX (SYG1/Pho81/XPR1) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839559]
AT1G02870,AT1G02870.1,nucleolar-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839496]
AT1G02880,AT1G02880.3,thiamin pyrophosphokinase1 [Source:NCBI gene (formerly Entrezgene);Acc:839303]
AT1G02890,AT1G02890.1,AAA-type ATPase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839507]
AT1G02900,AT1G02900.1,rapid alkalinization factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:839389]
AT1G02910,AT1G02910.1,tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839350]
AT1G02920,AT1G02920.1,glutathione S-transferase 7 [Source:NCBI gene (formerly Entrezgene);Acc:839295]
AT1G02930,AT1G02930.1,glutathione S-transferase 6 [Source:NCBI gene (formerly Entrezgene);Acc:839515]
AT1G02940,AT1G02940.1,glutathione S-transferase (class phi) 5 [Source:NCBI gene (formerly Entrezgene);Acc:839479]
AT1G02950,AT1G02950.2,glutathione S-transferase F4 [Source:NCBI gene (formerly Entrezgene);Acc:838240]
AT1G02952,AT1G02952.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5007660]
AT1G02960,AT1G02960.2,kinetochore protein [Source:NCBI gene (formerly Entrezgene);Acc:839363]
AT1G02965,AT1G02965.1,""
AT1G02970,AT1G02970.1,WEE1-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:839453]
AT1G02980,AT1G02980.1,cullin 2 [Source:NCBI gene (formerly Entrezgene);Acc:839415]
AT1G02990,AT1G02990.3,""
AT1G03000,AT1G03000.1,peroxin 6 [Source:NCBI gene (formerly Entrezgene);Acc:839315]
AT1G03010,AT1G03010.1,Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839556]
AT1G03020,AT1G03020.1,Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839505]
AT1G03022,AT1G03022.1,
AT1G03030,AT1G03030.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839473]
AT1G03040,AT1G03040.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839446]
AT1G03050,AT1G03050.1,ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839416]
AT1G03055,AT1G03055.1,beta-carotene isomerase D27-like protein [Source:NCBI gene (formerly Entrezgene);Acc:838334]
AT1G03060,AT1G03060.1,BEACH-DOMAIN HOMOLOG A1 [Source:NCBI gene (formerly Entrezgene);Acc:839323]
AT1G03070,AT1G03070.1,Bax inhibitor-1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839581]
AT1G03080,AT1G03080.1,kinase interacting (KIP1-like) family protein [Source:NCBI gene (formerly Entrezgene);Acc:838350]
AT1G03090,AT1G03090.2,methylcrotonyl-CoA carboxylase alpha chain [Source:NCBI gene (formerly Entrezgene);Acc:838362]
AT1G03100,AT1G03100.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839573]
AT1G03103,AT1G03103.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745739]
AT1G03106,AT1G03106.1,""
AT1G03110,AT1G03110.1,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839572]
AT1G03120,AT1G03120.1,responsive to abscisic acid 28 [Source:NCBI gene (formerly Entrezgene);Acc:839571]
AT1G03130,AT1G03130.1,photosystem I subunit D-2 [Source:NCBI gene (formerly Entrezgene);Acc:838400]
AT1G03140,AT1G03140.1,splicing factor Prp18 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839567]
AT1G03150,AT1G03150.1,Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839562]
AT1G03160,AT1G03160.1,FZO-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839566]
AT1G03170,AT1G03170.1,FANTASTIC four-like protein (DUF3049) [Source:NCBI gene (formerly Entrezgene);Acc:839563]
AT1G03180,AT1G03180.1,non-structural protein [Source:NCBI gene (formerly Entrezgene);Acc:839560]
AT1G03190,AT1G03190.1,RAD3-like DNA-binding helicase protein [Source:NCBI gene (formerly Entrezgene);Acc:839557]
